title,title_clean,release_year,budget,revenue,genres_clean,on_netflix
Boys on the Side,boys on the side,1995,21000000.0,23450000.0,"Comedy, Drama",False
Clerks,clerks,1994,27000.0,3151130.0,Comedy,False
Don Juan DeMarco,don juan demarco,1994,25000000.0,22200000.0,"Romance, Drama, Comedy",False
Disclosure,disclosure,1994,55000000.0,214015089.0,"Drama, Thriller, Crime, Mystery, Romance",False
Drop Zone,drop zone,1994,45000000.0,,"Action, Adventure, Thriller",False
Dumb and Dumber,dumb and dumber,1994,16000000.0,247275374.0,Comedy,False
Eat Drink Man Woman,eat drink man woman,1994,,7294403.0,"Comedy, Drama, Romance",False
Exit to Eden,exit to eden,1994,,6841570.0,"Thriller, Comedy, Crime, Romance",False
Ed Wood,ed wood,1994,18000000.0,5887457.0,"Comedy, Drama, History",False
A Goofy Movie,a goofy movie,1995,,35348597.0,"Romance, Animation, Family, Comedy, Adventure",False
Hideaway,hideaway,1995,15000000.0,12201255.0,"Drama, Thriller",False
Gordy,gordy,1995,,3992809.0,"Drama, Family, Fantasy",False
Hoop Dreams,hoop dreams,1994,700000.0,7830611.0,Documentary,False
Heavenly Creatures,heavenly creatures,1994,5000000.0,3049135.0,"Drama, Fantasy",False
Houseguest,houseguest,1995,10500000.0,26325256.0,"Comedy, Family",False
Immortal Beloved,immortal beloved,1994,120.0,,"Drama, Music, Romance",False
Heavyweights,heavyweights,1995,,17689177.0,"Comedy, Family, Drama",False
I.Q.,i.q.,1994,25000000.0,,"Comedy, Drama, Romance",False
Interview with the Vampire,interview with the vampire,1994,60000000.0,223664608.0,"Horror, Romance",False
Jefferson in Paris,jefferson in paris,1995,14000000.0,2474000.0,"Drama, Romance",False
Junior,junior,1994,60000000.0,37000000.0,"Comedy, Family, Romance",False
Kiss of Death,kiss of death,1995,40000000.0,,"Action, Crime, Drama, Thriller",False
Star Wars,star wars,1977,11000000.0,775398007.0,"Adventure, Action, Science Fiction",False
Little Women,little women,1994,18000000.0,,"Drama, Romance",False
A Little Princess,a little princess,1995,17000000.0,,"Drama, Family, Fantasy",False
L'Enfer,l'enfer,1994,10000000.0,,"Crime, Drama",False
Like Water for Chocolate,like water for chocolate,1992,2000000.0,21665468.0,"Drama, Romance",True
Legends of the Fall,legends of the fall,1994,30000000.0,160638883.0,"Adventure, Drama, Romance, War",False
Love Affair,love affair,1994,60000000.0,,"Drama, Romance",False
Losing Isaiah,losing isaiah,1995,17000000.0,7603766.0,Drama,False
Mary Shelley's Frankenstein,mary shelley's frankenstein,1994,45000000.0,112006296.0,"Drama, Horror, Science Fiction, Romance",False
Mixed Nuts,mixed nuts,1994,15000000.0,,"Comedy, Drama, Romance",False
Milk Money,milk money,1994,,18137661.0,"Comedy, Romance",False
Miracle on 34th Street,miracle on 34th street,1994,,46264384.0,"Fantasy, Drama, Family",False
Miami Rhapsody,miami rhapsody,1995,6.0,5.0,"Comedy, Romance",False
My Family,my family,1995,5500000.0,,"Comedy, Drama",False
Murder in the First,murder in the first,1995,,17381942.0,"Crime, Drama",False
Nell,nell,1994,31000000.0,106683817.0,"Drama, Thriller",False
Beyond Bedlam,beyond bedlam,1994,4800000.0,,Horror,False
Natural Born Killers,natural born killers,1994,34000000.0,50282766.0,"Crime, Thriller, Drama",False
Once Were Warriors,once were warriors,1994,,2201126.0,Drama,False
Outbreak,outbreak,1995,50000000.0,189859560.0,"Action, Drama, Science Fiction, Thriller",False
Leon: The Professional,leon: the professional,1994,16000000.0,45284974.0,"Thriller, Crime, Drama",False
The Perez Family,the perez family,1995,11000000.0,2832826.0,"Comedy, Drama, Romance",False
Pulp Fiction,pulp fiction,1994,8000000.0,213928762.0,"Thriller, Crime",True
Panther,panther,1995,,6834525.0,Drama,False
Pushing Hands,pushing hands,1992,400000.0,152322.0,"Comedy, Drama",False
Priest,priest,1994,,4176932.0,"Drama, Romance",False
The Quick and the Dead,the quick and the dead,1995,32000000.0,18552460.0,"Action, Western",False
Roommates,roommates,1995,22000000.0,12400000.0,"Drama, Comedy",False
Prêt-à-Porter,prêt-à-porter,1994,15000000.0,11300653.0,"Drama, Comedy",False
The Swan Princess,the swan princess,1994,35000000.0,9771658.0,Animation,False
The Specialist,the specialist,1994,45000000.0,170362582.0,"Action, Thriller",False
Stargate,stargate,1994,55000000.0,196567262.0,"Action, Adventure, Science Fiction",True
The Santa Clause,the santa clause,1994,22000000.0,189833357.0,"Fantasy, Drama, Comedy, Family",False
The Shawshank Redemption,the shawshank redemption,1994,25000000.0,28341469.0,"Drama, Crime",False
Suture,suture,1993,,102780.0,"Drama, Thriller",False
The Sum of Us,the sum of us,1994,32.0,,"Comedy, Drama, Romance",False
Tank Girl,tank girl,1995,25000000.0,4064495.0,"Action, Comedy, Fantasy, Science Fiction",False
Star Trek: Generations,star trek: generations,1994,38000000.0,120000000.0,"Science Fiction, Action, Adventure, Thriller",False
Tales from the Hood,tales from the hood,1995,6000000.0,12000000.0,"Crime, Horror, Thriller",False
Tommy Boy,tommy boy,1995,,32648673.0,Comedy,False
The Underneath,the underneath,1995,6500000.0,,"Thriller, Crime",False
What's Eating Gilbert Grape,what's eating gilbert grape,1993,11000000.0,10032765.0,"Romance, Drama",True
Virtuosity,virtuosity,1995,30000000.0,24048000.0,"Action, Crime, Science Fiction, Thriller",False
While You Were Sleeping,while you were sleeping,1995,17000000.0,182057016.0,"Comedy, Drama, Romance",False
Double Happiness,double happiness,1994,,759393.0,"Comedy, Romance",False
Muriel's Wedding,muriel's wedding,1994,3000000.0,15119639.0,"Drama, Comedy, Romance",False
Ace Ventura: Pet Detective,ace ventura: pet detective,1994,15000000.0,107217396.0,"Comedy, Mystery",False
"The Adventures of Priscilla, Queen of the Desert","the adventures of priscilla, queen of the desert",1994,,11220670.0,"Drama, Comedy",False
Bitter Moon,bitter moon,1992,5000000.0,1862805.0,"Thriller, Drama, Romance",False
Clear and Present Danger,clear and present danger,1994,62000000.0,215887717.0,"Action, Drama, Thriller",True
The Client,the client,1994,45000000.0,117615211.0,"Drama, Thriller, Crime, Mystery",False
The Crow,the crow,1994,15000000.0,94000000.0,"Fantasy, Action, Thriller",True
Cobb,cobb,1994,,1007583.0,Drama,False
The Flintstones,the flintstones,1994,46000000.0,341631208.0,"Fantasy, Comedy, Family",True
Forrest Gump,forrest gump,1994,55000000.0,677945399.0,"Comedy, Drama, Romance",False
Four Weddings and a Funeral,four weddings and a funeral,1994,6000000.0,254700832.0,"Comedy, Drama, Romance",True
Higher Learning,higher learning,1995,,38290723.0,"Romance, Drama, Crime",False
I Like It Like That,i like it like that,1994,,1777020.0,"Comedy, Drama, Romance",False
I Love Trouble,i love trouble,1994,45000000.0,61947267.0,"Action, Comedy, Romance",False
"The Wonderful, Horrible Life of Leni Riefenstahl","the wonderful, horrible life of leni riefenstahl",1993,,449707.0,"Documentary, Foreign",False
The Lion King,the lion king,1994,45000000.0,788241776.0,"Family, Animation, Drama",False
Little Buddha,little buddha,1993,35000000.0,4858139.0,"Drama, History",False
New Nightmare,new nightmare,1994,14000000.0,18090181.0,"Horror, Thriller, Mystery, Fantasy",False
The Mask,the mask,1994,23000000.0,351583407.0,"Romance, Comedy, Crime, Fantasy",False
The Naked Gun 33⅓: The Final Insult,the naked gun 33⅓: the final insult,1994,30000000.0,51132598.0,"Comedy, Crime",False
The Paper,the paper,1994,6000000.0,,"Comedy, Drama",False
Reality Bites,reality bites,1994,11500000.0,20079850.0,Drama,False
Red Rock West,red rock west,1993,8000000.0,2000000.0,"Crime, Drama, Thriller",False
Ri¢hie Ri¢h,ri¢hie ri¢h,1994,40000000.0,,"Comedy, Family",False
The River Wild,the river wild,1994,45000000.0,,"Action, Adventure, Crime, Thriller",True
Speed,speed,1994,30000000.0,350448145.0,"Action, Adventure, Crime",False
Timecop,timecop,1994,27000000.0,101646581.0,"Thriller, Science Fiction, Action, Crime",False
True Lies,true lies,1994,115000000.0,378882411.0,"Action, Thriller",False
When a Man Loves a Woman,when a man loves a woman,1994,,50021959.0,"Drama, Romance",False
Wyatt Earp,wyatt earp,1994,63000000.0,25052000.0,"Drama, Action, Western",True
A Man of No Importance,a man of no importance,1994,,953.0,"Comedy, Drama",False
A Low Down Dirty Shame,a low down dirty shame,1994,10000000.0,29392418.0,"Action, Comedy, Crime",False
"Faster, Pussycat! Kill! Kill!","faster, pussycat! kill! kill!",1965,45000.0,,"Action, Crime",False
Jason's Lyric,jason's lyric,1994,7000000.0,20851521.0,"Crime, Drama, Romance",False
Street Fighter,street fighter,1994,35000000.0,99423521.0,"Action, Adventure, Thriller",False
Highlander: The Final Dimension,highlander: the final dimension,1994,26000000.0,36800000.0,"Action, Fantasy, Science Fiction",False
In the Mouth of Madness,in the mouth of madness,1994,8000000.0,8946600.0,"Horror, Mystery, Thriller",False
Addams Family Values,addams family values,1993,,48919043.0,"Comedy, Family, Fantasy",False
The Age of Innocence,the age of innocence,1993,34000000.0,32255440.0,"Drama, Romance",False
The Air Up There,the air up there,1994,17080000.0,21011500.0,"Comedy, Family",False
Bad Girls,bad girls,1994,,15240435.0,"Action, Adventure, Comedy, Drama, Western",False
Barcelona,barcelona,1994,3200000.0,,"Comedy, Drama, Romance",False
Being Human,being human,1994,40000000.0,,"Drama, Comedy, Fantasy",False
Beverly Hills Cop III,beverly hills cop iii,1994,50000000.0,119208989.0,"Action, Comedy, Crime",False
Blink,blink,1994,,16668552.0,"Mystery, Crime, Drama, Thriller",False
Blown Away,blown away,1994,,30156002.0,"Drama, Action, Thriller",False
Body Snatchers,body snatchers,1993,13000000.0,428868.0,"Horror, Science Fiction, Thriller",False
Boxing Helena,boxing helena,1993,,1796389.0,"Drama, Romance",False
A Bronx Tale,a bronx tale,1993,22000000.0,17287898.0,"Drama, Crime",False
Cabin Boy,cabin boy,1994,,3662459.0,Comedy,False
Calendar Girl,calendar girl,1993,13000000.0,2570145.0,"Drama, Comedy",False
Carlito's Way,carlito's way,1993,30000000.0,36516012.0,"Action, Crime, Drama, Thriller",False
Clean Slate,clean slate,1994,,7355425.0,"Comedy, Thriller, Mystery",False
Cliffhanger,cliffhanger,1993,70000000.0,255000211.0,"Action, Adventure, Thriller",True
Color of Night,color of night,1994,40000000.0,19726050.0,"Drama, Mystery, Romance, Thriller",False
Dave,dave,1993,,63000000.0,Comedy,False
Dazed and Confused,dazed and confused,1993,6900000.0,7993039.0,"Comedy, Drama",False
Demolition Man,demolition man,1993,57000000.0,159055768.0,"Crime, Action, Science Fiction",False
Even Cowgirls Get the Blues,even cowgirls get the blues,1994,8000000.0,,"Western, Drama, Comedy, Romance",False
Flesh and Bone,flesh and bone,1993,,9488998.0,"Drama, Mystery, Romance",False
For Love or Money,for love or money,1993,30000000.0,11146270.0,"Comedy, Romance",False
The Firm,the firm,1993,42000000.0,270248367.0,"Drama, Mystery, Thriller",False
Free Willy,free willy,1993,20000000.0,153698625.0,"Family, Adventure",True
The Fugitive,the fugitive,1993,44000000.0,368875760.0,"Adventure, Action, Thriller, Crime, Mystery",False
Geronimo: An American Legend,geronimo: an american legend,1993,35000000.0,18635620.0,"History, Action, Drama, Western",False
The Getaway,the getaway,1994,,30.0,"Drama, Action, Thriller",False
Getting Even with Dad,getting even with dad,1994,30000000.0,,"Family, Comedy, Crime",False
Guilty as Sin,guilty as sin,1993,,22886222.0,"Drama, Thriller",False
Hard Target,hard target,1993,18000000.0,74189677.0,"Action, Adventure, Crime, Thriller",False
Heaven & Earth,heaven & earth,1993,33000000.0,,"History, War, Action, Drama",False
Hot Shots! Part Deux,hot shots! part deux,1993,25000000.0,133752825.0,"Action, Comedy, War",False
The House of the Spirits,the house of the spirits,1993,25000000.0,,"Romance, Drama",False
The Hudsucker Proxy,the hudsucker proxy,1994,30000000.0,,"Comedy, Drama",False
I'll Do Anything,i'll do anything,1994,40000000.0,,"Comedy, Drama",False
In the Army Now,in the army now,1994,,28881266.0,Comedy,False
In the Line of Fire,in the line of fire,1993,40000000.0,176997168.0,"Action, Drama, Thriller, Crime, Mystery",True
In the Name of the Father,in the name of the father,1993,13000000.0,65796862.0,Drama,False
The Inkwell,the inkwell,1994,,8880705.0,"Comedy, Drama, Romance",False
Jimmy Hollywood,jimmy hollywood,1994,30000000.0,,Comedy,False
Judgment Night,judgment night,1993,,12136938.0,"Action, Thriller, Crime",False
Jurassic Park,jurassic park,1993,63000000.0,920100000.0,"Adventure, Science Fiction",False
Kalifornia,kalifornia,1993,9000000.0,2395231.0,"Thriller, Crime",False
Killing Zoe,killing zoe,1993,1500000.0,418961.0,"Action, Crime, Drama, Thriller",False
Last Action Hero,last action hero,1993,85000000.0,137298489.0,"Adventure, Fantasy, Action, Comedy, Family",False
M. Butterfly,m. butterfly,1993,,1499795.0,"Drama, Romance",False
Made in America,made in america,1993,22000000.0,,Comedy,False
Malice,malice,1993,,46405336.0,"Drama, Crime",False
The Man without a Face,the man without a face,1993,,24760338.0,Drama,False
Manhattan Murder Mystery,manhattan murder mystery,1993,13500000.0,11285588.0,"Comedy, Mystery",False
Menace II Society,menace ii society,1993,3500000.0,27900000.0,"Drama, Action, Crime",False
Executive Decision,executive decision,1996,55000000.0,121969216.0,"Action, Adventure, Drama, Thriller",True
Much Ado About Nothing,much ado about nothing,1993,8000000.0,,"Drama, Comedy, Romance",False
Mrs. Doubtfire,mrs. doubtfire,1993,25000000.0,441286195.0,"Comedy, Drama, Family",False
The Next Karate Kid,the next karate kid,1994,12000000.0,15826984.0,Adventure,True
No Escape,no escape,1994,20000000.0,15340000.0,"Action, Drama, Science Fiction, Thriller",False
North,north,1994,40000000.0,,"Comedy, Drama, Family, Fantasy, Science Fiction",False
Orlando,orlando,1992,4000000.0,,"Romance, Drama, Fantasy",False
A Perfect World,a perfect world,1993,30000000.0,135130999.0,"Crime, Drama, Thriller",False
Philadelphia,philadelphia,1993,26000000.0,206678440.0,Drama,True
The Piano,the piano,1993,7000000.0,116700000.0,"Drama, Romance",True
Poetic Justice,poetic justice,1993,14000000.0,27515786.0,"Drama, Romance",False
The Program,the program,1993,,23042200.0,Drama,False
The Puppet Masters,the puppet masters,1994,,8638072.0,"Horror, Science Fiction, Thriller",False
The Ref,the ref,1994,11000000.0,11439193.0,Comedy,False
The Remains of the Day,the remains of the day,1993,11500000.0,23237911.0,"Drama, Romance",False
Renaissance Man,renaissance man,1994,40000000.0,24332324.0,"Comedy, War",False
Rising Sun,rising sun,1993,,107198790.0,"Action, Drama, Thriller",False
RoboCop 3,robocop 3,1993,22000000.0,10696210.0,"Action, Adventure, Crime, Science Fiction, Thriller",False
Robin Hood: Men in Tights,robin hood: men in tights,1993,20000000.0,35739755.0,Comedy,False
Romeo Is Bleeding,romeo is bleeding,1993,11500000.0,3275585.0,"Action, Crime, Drama, Thriller",False
Ruby in Paradise,ruby in paradise,1993,800000.0,1001437.0,"Drama, Romance",False
Rudy,rudy,1993,12000000.0,22750363.0,Drama,False
Schindler's List,schindler's list,1993,22000000.0,321365567.0,"Drama, History, War",True
Searching for Bobby Fischer,searching for bobby fischer,1993,,7266383.0,Drama,True
Serial Mom,serial mom,1994,13000000.0,7820688.0,"Comedy, Crime, Horror, Thriller",False
The Shadow,the shadow,1994,25000000.0,48063435.0,"Adventure, Fantasy, Action, Thriller, Science Fiction",False
Shadowlands,shadowlands,1993,22000000.0,,"Drama, Romance",False
Short Cuts,short cuts,1993,,6110979.0,"Comedy, Drama",False
Sirens,sirens,1993,,7770731.0,"Comedy, Drama",False
Sleepless in Seattle,sleepless in seattle,1993,21000000.0,227799884.0,"Comedy, Drama, Romance",False
Sliver,sliver,1993,40000000.0,116300000.0,"Drama, Thriller",True
Blade Runner,blade runner,1982,28000000.0,33139618.0,"Science Fiction, Drama, Thriller",False
Son in Law,son in law,1993,,36448200.0,"Comedy, Drama, Romance",False
So I Married an Axe Murderer,so i married an axe murderer,1993,20000000.0,11585483.0,"Comedy, Crime, Romance",False
Striking Distance,striking distance,1993,30.0,,"Crime, Action, Mystery, Thriller",False
Super Mario Bros.,super mario bros.,1993,48000000.0,20915465.0,"Adventure, Comedy, Family, Fantasy",False
Surviving the Game,surviving the game,1994,7400000.0,7690013.0,"Action, Adventure, Thriller, Crime",False
Terminal Velocity,terminal velocity,1994,50000000.0,16478900.0,"Action, Thriller",False
The Nightmare Before Christmas,the nightmare before christmas,1993,18000000.0,75634409.0,"Fantasy, Animation, Family",False
The Three Musketeers,the three musketeers,1993,30000000.0,53898845.0,"Action, Adventure, Comedy",False
